player_nationality,games_position,team_founded,venue_surface,league_id,team_id,venue_id,player_weight
France,Goalkeeper,1899.0,grass,61,81,12678,89
Italy,Midfielder,1899.0,grass,61,81,12678,76
France,Midfielder,1899.0,grass,61,81,12678,70
Morocco,Midfielder,1899.0,grass,61,81,12678,70
Algeria,Defender,1899.0,grass,61,81,12678,70
Croatia,Defender,1899.0,grass,61,81,12678,89
France,Midfielder,1899.0,grass,61,81,12678,68
France,Defender,1899.0,grass,61,81,12678,92
France,Goalkeeper,1899.0,grass,61,81,12678,76
France,Midfielder,1899.0,grass,61,81,12678,74
Poland,Attacker,1899.0,grass,61,81,12678,80
Spain,Defender,1899.0,grass,61,81,12678,72
France,Midfielder,1899.0,grass,61,81,12678,70
Armenia,Goalkeeper,1899.0,grass,61,81,12678,75
Comoros,Defender,1899.0,grass,61,81,12678,72
Algeria,Attacker,1899.0,grass,61,81,12678,81
France,Midfielder,1899.0,grass,61,81,12678,74
France,Attacker,1899.0,grass,61,81,12678,67
France,Defender,1899.0,grass,61,81,12678,74
France,Attacker,1899.0,grass,61,81,12678,75
Comoros,Defender,1899.0,grass,61,81,12678,75
Brazil,Defender,1899.0,grass,61,81,12678,74
Congo DR,Attacker,1899.0,grass,61,81,12678,73
Senegal,Midfielder,1899.0,grass,61,81,12678,79
France,Attacker,1899.0,grass,61,81,12678,57
Argentina,Defender,1899.0,grass,61,81,12678,85
Morocco,Midfielder,1899.0,grass,61,81,12678,67
Türkiye,Attacker,1899.0,grass,61,81,12678,66
Bosnia and Herzegovina,Defender,1899.0,grass,61,81,12678,85
France,Midfielder,1899.0,grass,61,81,12678,68
Spain,Goalkeeper,1899.0,grass,61,81,12678,77
France,Midfielder,1899.0,grass,61,81,12678,77
France,Midfielder,1899.0,grass,61,81,12678,67
Cameroon,Goalkeeper,1899.0,grass,61,81,12678,74
Switzerland,Attacker,1899.0,grass,61,81,12678,75
Spain,Defender,1899.0,grass,61,81,12678,70
France,Defender,1899.0,grass,61,81,12678,70
