,player_age,correct
12473,29.0,1
31805,35.0,0
35768,28.0,0
48875,25.0,1
27617,40.0,1
10161,29.0,1
34271,27.0,0
3750,36.0,1
2466,28.0,1
24742,28.0,1
15327,21.0,1
35871,32.0,0
18437,30.0,1
34283,30.0,0
49295,36.0,0
57664,38.0,0
2127,36.0,0
60866,23.0,1
14428,33.0,1
32510,37.0,1
2420,36.0,1
20872,23.0,1
43921,31.0,1
23023,28.0,1
63298,34.0,1
60030,28.0,0
11545,29.0,0
15864,27.0,0
7759,21.0,0
43455,29.0,0
41784,31.0,1
38202,34.0,1
30757,24.0,1
39873,33.0,1
29016,29.0,0
27453,32.0,1
58995,24.0,1
55849,28.0,1
4780,33.0,0
58629,34.0,0
20236,24.0,0
13272,30.0,1
8066,31.0,0
45619,34.0,1
28256,28.0,0
28496,32.0,1
1327,29.0,1
20536,32.0,1
19178,28.0,1
53703,27.0,1
64783,34.0,0
18431,41.0,0
17980,26.0,1
24278,27.0,0
60140,32.0,0
32637,35.0,1
46184,35.0,1
32058,23.0,1
56699,30.0,0
59958,36.0,1
33397,31.0,1
52313,34.0,0
47959,30.0,0
9425,33.0,1
7263,27.0,1
7656,29.0,0
7486,24.0,0
29513,40.0,0
2383,27.0,1
10270,34.0,0
34782,28.0,1
39955,32.0,1
922,36.0,0
60870,31.0,0
49074,24.0,1
48331,29.0,1
30997,28.0,1
48892,34.0,1
31954,26.0,1
27377,24.0,1
19508,37.0,0
51581,31.0,1
46347,29.0,1
10928,31.0,1
46908,30.0,1
28825,28.0,1
26536,27.0,0
629,20.0,1
63463,34.0,0
19937,33.0,1
10754,34.0,1
36422,22.0,1
22177,26.0,0
25791,36.0,1
36448,21.0,1
39614,36.0,1
58699,26.0,1
65224,35.0,0
40434,33.0,1
11760,34.0,1
29095,22.0,1
25408,33.0,1
45510,37.0,1
19985,28.0,0
20287,18.0,1
48905,25.0,0
49678,26.0,0
32889,35.0,0
6711,32.0,1
14894,35.0,1
4818,27.0,1
17136,27.0,1
62009,22.0,1
12074,32.0,1
55598,34.0,1
8313,24.0,1
33891,28.0,1
62831,33.0,1
23531,28.0,1
46628,24.0,1
33814,32.0,1
1712,28.0,0
26718,21.0,1
22198,27.0,0
19271,35.0,0
35822,37.0,0
28248,35.0,1
18608,36.0,1
9389,41.0,1
60988,29.0,1
9127,28.0,0
4594,32.0,1
58004,36.0,0
38459,30.0,1
53245,32.0,0
44884,32.0,1
56820,28.0,1
30659,29.0,1
3514,25.0,1
19916,23.0,1
62967,25.0,0
12733,20.0,1
42683,28.0,1
62837,32.0,0
55749,31.0,1
34292,22.0,1
48508,24.0,1
26600,28.0,1
4488,36.0,0
18539,41.0,1
23228,36.0,1
27315,31.0,1
25909,36.0,0
18872,32.0,0
22078,32.0,1
54450,21.0,1
2491,20.0,1
46942,29.0,1
36503,24.0,1
45150,35.0,1
22356,30.0,0
19574,31.0,1
39252,31.0,0
35830,25.0,1
22206,32.0,0
57823,29.0,1
8135,26.0,1
