league_id,league_name,league_type,league_logo,country_name,country_code,country_flag
750,Oberliga - Hessen,League,https://media-3.api-sports.io/football/leagues/750.png,Germany,DE,https://media-3.api-sports.io/flags/de.svg
751,Oberliga - Niederrhein,League,https://media-1.api-sports.io/football/leagues/751.png,Germany,DE,https://media-2.api-sports.io/flags/de.svg
752,Oberliga - Rheinland-Pfalz / Saar,League,https://media-2.api-sports.io/football/leagues/752.png,Germany,DE,https://media-1.api-sports.io/flags/de.svg
753,Oberliga - Baden-Württemberg,League,https://media-1.api-sports.io/football/leagues/753.png,Germany,DE,https://media-2.api-sports.io/flags/de.svg
754,Oberliga - Nordost-Nord,League,https://media-2.api-sports.io/football/leagues/754.png,Germany,DE,https://media-2.api-sports.io/flags/de.svg
755,Oberliga - Nordost-Süd,League,https://media-1.api-sports.io/football/leagues/755.png,Germany,DE,https://media-1.api-sports.io/flags/de.svg
756,Cup,Cup,https://media-1.api-sports.io/football/leagues/756.png,Macedonia,MK,https://media-3.api-sports.io/flags/mk.svg
757,Irish Cup,Cup,https://media-2.api-sports.io/football/leagues/757.png,Northern-Ireland,GB,https://media-2.api-sports.io/flags/gb.svg
758,Premier Division,League,https://media-1.api-sports.io/football/leagues/758.png,Gibraltar,GI,https://media-1.api-sports.io/flags/gi.svg
759,Liga Mayor,League,https://media-1.api-sports.io/football/leagues/759.png,Dominican-Republic,DO,https://media-2.api-sports.io/flags/do.svg
760,LFA First Division,League,https://media-1.api-sports.io/football/leagues/760.png,Liberia,LR,https://media-2.api-sports.io/flags/lr.svg
761,Cup,Cup,https://media-1.api-sports.io/football/leagues/761.png,Liechtenstein,LI,https://media-2.api-sports.io/flags/li.svg
762,Premier League,League,https://media-2.api-sports.io/football/leagues/762.png,Mauritania,MR,https://media-3.api-sports.io/flags/mr.svg
763,Mauritian League,League,https://media-3.api-sports.io/football/leagues/763.png,Mauritius,MU,https://media-1.api-sports.io/flags/mu.svg
764,Premier League,League,https://media-1.api-sports.io/football/leagues/764.png,Mongolia,MN,https://media-1.api-sports.io/flags/mn.svg
765,PFL,League,https://media-1.api-sports.io/football/leagues/765.png,Philippines,PH,https://media-3.api-sports.io/flags/ph.svg
767,CONCACAF League,Cup,https://media-2.api-sports.io/football/leagues/767.png,World,,
771,COSAFA U20 Championship,Cup,https://media-1.api-sports.io/football/leagues/771.png,World,,
774,3. Division - Girone 1,League,https://media-2.api-sports.io/football/leagues/774.png,Norway,NO,https://media-1.api-sports.io/flags/no.svg
775,3. Division - Girone 2,League,https://media-2.api-sports.io/football/leagues/775.png,Norway,NO,https://media-2.api-sports.io/flags/no.svg
776,3. Division - Girone 3,League,https://media-2.api-sports.io/football/leagues/776.png,Norway,NO,https://media-1.api-sports.io/flags/no.svg
777,3. Division - Girone 4,League,https://media-2.api-sports.io/football/leagues/777.png,Norway,NO,https://media-2.api-sports.io/flags/no.svg
778,3. Division - Girone 5,League,https://media-2.api-sports.io/football/leagues/778.png,Norway,NO,https://media-3.api-sports.io/flags/no.svg
779,3. Division - Girone 6,League,https://media-2.api-sports.io/football/leagues/779.png,Norway,NO,https://media-1.api-sports.io/flags/no.svg
780,III Liga - Group 1,League,https://media-3.api-sports.io/football/leagues/780.png,Poland,PL,https://media-1.api-sports.io/flags/pl.svg
781,III Liga - Group 2,League,https://media-3.api-sports.io/football/leagues/781.png,Poland,PL,https://media-3.api-sports.io/flags/pl.svg
782,III Liga - Group 3,League,https://media-2.api-sports.io/football/leagues/782.png,Poland,PL,https://media-2.api-sports.io/flags/pl.svg
783,III Liga - Group 4,League,https://media-1.api-sports.io/football/leagues/783.png,Poland,PL,https://media-1.api-sports.io/flags/pl.svg
784,Liga III - Serie 1,League,https://media-2.api-sports.io/football/leagues/784.png,Romania,RO,https://media-3.api-sports.io/flags/ro.svg
785,Liga III - Serie 2,League,https://media-1.api-sports.io/football/leagues/785.png,Romania,RO,https://media-1.api-sports.io/flags/ro.svg
786,Liga III - Serie 3,League,https://media-1.api-sports.io/football/leagues/786.png,Romania,RO,https://media-1.api-sports.io/flags/ro.svg
787,Liga III - Serie 4,League,https://media-1.api-sports.io/football/leagues/787.png,Romania,RO,https://media-1.api-sports.io/flags/ro.svg
788,Liga III - Serie 5,League,https://media-3.api-sports.io/football/leagues/788.png,Romania,RO,https://media-1.api-sports.io/flags/ro.svg
789,Liga III - Serie 6,League,https://media-2.api-sports.io/football/leagues/789.png,Romania,RO,https://media-1.api-sports.io/flags/ro.svg
790,Liga III - Serie 7,League,https://media-2.api-sports.io/football/leagues/790.png,Romania,RO,https://media-2.api-sports.io/flags/ro.svg
791,Liga III - Serie 8,League,https://media-1.api-sports.io/football/leagues/791.png,Romania,RO,https://media-2.api-sports.io/flags/ro.svg
792,Liga III - Serie 9,League,https://media-1.api-sports.io/football/leagues/792.png,Romania,RO,https://media-2.api-sports.io/flags/ro.svg
793,Liga III - Serie 10,League,https://media-1.api-sports.io/football/leagues/793.png,Romania,RO,https://media-1.api-sports.io/flags/ro.svg
794,3. SNL - East,League,https://media-3.api-sports.io/football/leagues/794.png,Slovenia,SI,https://media-1.api-sports.io/flags/si.svg
795,3. SNL - West,League,https://media-2.api-sports.io/football/leagues/795.png,Slovenia,SI,https://media-1.api-sports.io/flags/si.svg
796,2. Liga Interregional - Group 1,League,https://media-2.api-sports.io/football/leagues/796.png,Switzerland,CH,https://media-3.api-sports.io/flags/ch.svg
797,2. Liga Interregional - Group 2,League,https://media-3.api-sports.io/football/leagues/797.png,Switzerland,CH,https://media-3.api-sports.io/flags/ch.svg
798,2. Liga Interregional - Group 3,League,https://media-1.api-sports.io/football/leagues/798.png,Switzerland,CH,https://media-3.api-sports.io/flags/ch.svg
799,2. Liga Interregional - Group 4,League,https://media-2.api-sports.io/football/leagues/799.png,Switzerland,CH,https://media-2.api-sports.io/flags/ch.svg
800,2. Liga Interregional - Group 5,League,https://media-1.api-sports.io/football/leagues/800.png,Switzerland,CH,https://media-3.api-sports.io/flags/ch.svg
801,2. Liga Interregional - Group 6,League,https://media-3.api-sports.io/football/leagues/801.png,Switzerland,CH,https://media-1.api-sports.io/flags/ch.svg
802,Cup,Cup,https://media-2.api-sports.io/football/leagues/802.png,Uzbekistan,UZ,https://media-2.api-sports.io/flags/uz.svg
809,Super Cup,Cup,https://media-2.api-sports.io/football/leagues/809.png,Andorra,AD,https://media-3.api-sports.io/flags/ad.svg
810,Super Copa,Cup,https://media-3.api-sports.io/football/leagues/810.png,Argentina,AR,https://media-2.api-sports.io/flags/ar.svg
811,Federation Cup,Cup,https://media-3.api-sports.io/football/leagues/811.png,Bangladesh,BD,https://media-1.api-sports.io/flags/bd.svg
813,Elite Two,League,https://media-3.api-sports.io/football/leagues/813.png,Cameroon,CM,https://media-2.api-sports.io/flags/cm.svg
816,Shield Cup,Cup,https://media-1.api-sports.io/football/leagues/816.png,Jordan,JO,https://media-3.api-sports.io/flags/jo.svg
817,Super Cup Primavera,Cup,https://media-2.api-sports.io/football/leagues/817.png,Italy,IT,https://media-1.api-sports.io/flags/it.svg
819,Super Cup,Cup,https://media-1.api-sports.io/football/leagues/819.png,Kosovo,XK,https://media-2.api-sports.io/flags/xk.svg
820,Crown Prince Cup,Cup,https://media-3.api-sports.io/football/leagues/820.png,Kuwait,KW,https://media-2.api-sports.io/flags/kw.svg
821,FA Trophy,Cup,https://media-3.api-sports.io/football/leagues/821.png,Malta,MT,https://media-1.api-sports.io/flags/mt.svg
822,Cup,Cup,https://media-3.api-sports.io/football/leagues/822.png,Morocco,MA,https://media-1.api-sports.io/flags/ma.svg
828,Ligue 2,League,https://media-1.api-sports.io/football/leagues/828.png,Tunisia,TN,https://media-2.api-sports.io/flags/tn.svg
829,Youth League,League,https://media-1.api-sports.io/football/leagues/829.png,Turkmenistan,TM,https://media-2.api-sports.io/flags/tm.svg
830,Super Cup,Cup,https://media-3.api-sports.io/football/leagues/830.png,Uzbekistan,UZ,https://media-2.api-sports.io/flags/uz.svg
832,Coupe de la Ligue,Cup,https://media-3.api-sports.io/football/leagues/832.png,Algeria,DZ,https://media-1.api-sports.io/flags/dz.svg
837,Rock Cup,Cup,https://media-1.api-sports.io/football/leagues/837.png,Gibraltar,GI,https://media-1.api-sports.io/flags/gi.svg
838,Super Cup,Cup,https://media-1.api-sports.io/football/leagues/838.png,Jordan,JO,https://media-1.api-sports.io/flags/jo.svg
