id,name,age,number,position,photo,team_id
19115,B. Peacock-Farrell,27,15.0,Goalkeeper,https://media-2.api-sports.io/football/players/19115.png,44
162528,D. Franchi,21,20.0,Goalkeeper,https://media-3.api-sports.io/football/players/162528.png,44
296665,C. Casper,18,40.0,Goalkeeper,https://media-1.api-sports.io/football/players/296665.png,44
616,A. Murić,25,49.0,Goalkeeper,https://media-1.api-sports.io/football/players/616.png,44
18918,C. Taylor,30,3.0,Defender,https://media-3.api-sports.io/football/players/18918.png,44
144729,T. Harwood-Bellis,21,5.0,Defender,https://media-3.api-sports.io/football/players/144729.png,44
19331,C. Roberts,28,14.0,Defender,https://media-3.api-sports.io/football/players/19331.png,44
47903,H. Ekdal,25,18.0,Defender,https://media-1.api-sports.io/football/players/47903.png,44
8661,Vitinho,24,22.0,Defender,https://media-3.api-sports.io/football/players/8661.png,44
323449,A. Al-Dakhil,21,28.0,Defender,https://media-3.api-sports.io/football/players/323449.png,44
138816,I. Maatsen,21,29.0,Defender,https://media-2.api-sports.io/football/players/138816.png,44
25628,J. Beyer,23,36.0,Defender,https://media-2.api-sports.io/football/players/25628.png,44
284212,D. Sassi,20,,Defender,https://media-1.api-sports.io/football/players/284212.png,44
18922,J. Cork,34,4.0,Midfielder,https://media-1.api-sports.io/football/players/18922.png,44
2790,J. Guðmunds­son,33,7.0,Midfielder,https://media-3.api-sports.io/football/players/2790.png,44
19268,J. Brownhill,28,8.0,Midfielder,https://media-3.api-sports.io/football/players/19268.png,44
69403,S. Twine,24,11.0,Midfielder,https://media-2.api-sports.io/football/players/69403.png,44
231029,N. Tella,24,23.0,Midfielder,https://media-1.api-sports.io/football/players/231029.png,44
19827,J. Cullen,27,24.0,Midfielder,https://media-3.api-sports.io/football/players/19827.png,44
2109,S. Bastien,27,26.0,Midfielder,https://media-1.api-sports.io/football/players/2109.png,44
105789,D. Churlinov,23,27.0,Midfielder,https://media-1.api-sports.io/football/players/105789.png,44
308864,J. Bauress,17,,Midfielder,https://media-3.api-sports.io/football/players/308864.png,44
138821,M. Lewis,22,,Midfielder,https://media-2.api-sports.io/football/players/138821.png,44
19169,J. Rodríguez,34,9.0,Attacker,https://media-1.api-sports.io/football/players/19169.png,44
18927,A. Barnes,34,10.0,Attacker,https://media-3.api-sports.io/football/players/18927.png,44
98936,L. Foster,23,12.0,Attacker,https://media-3.api-sports.io/football/players/98936.png,44
8589,B. Manuel,26,17.0,Attacker,https://media-1.api-sports.io/football/players/8589.png,44
129169,A. Zaroury,23,19.0,Attacker,https://media-1.api-sports.io/football/players/129169.png,44
37440,H. Dervişoğlu,24,30.0,Attacker,https://media-3.api-sports.io/football/players/37440.png,44
18957,M. Obafemi,23,45.0,Attacker,https://media-3.api-sports.io/football/players/18957.png,44
2932,J. Pickford,29,1.0,Goalkeeper,https://media-3.api-sports.io/football/players/2932.png,45
18858,A. Begović,36,15.0,Goalkeeper,https://media-3.api-sports.io/football/players/18858.png,45
20224,A. Lonergan,40,31.0,Goalkeeper,https://media-3.api-sports.io/football/players/20224.png,45
20069,B. Crellin,23,,Goalkeeper,https://media-2.api-sports.io/football/players/20069.png,45
2936,J. Tarkowski,31,2.0,Defender,https://media-3.api-sports.io/football/players/2936.png,45
138417,N. Patterson,22,3.0,Defender,https://media-3.api-sports.io/football/players/138417.png,45
19150,M. Holgate,27,4.0,Defender,https://media-1.api-sports.io/football/players/19150.png,45
2934,M. Keane,30,5.0,Defender,https://media-3.api-sports.io/football/players/2934.png,45
2484,Y. Mina,29,13.0,Defender,https://media-1.api-sports.io/football/players/2484.png,45
